eg_property_id,property_label,city,country,topic,observed_share,importance,recent_signal_share,days_since_last_signal,staleness,relevance,score_raw,recommended_question,score
110f01b8ae518a0ee41047bce5c22572988a435e10ead72dc1af793bba8ce0b0,"Pompei, Italy (110f01b8)",Pompei,Italy,checkin,0.03533922320386731,0.6567224080267559,0.0,627,1.0,1.0,0.48599859372802695,Was check-in smooth and clear when you arrived?,75.37293119101886
110f01b8ae518a0ee41047bce5c22572988a435e10ead72dc1af793bba8ce0b0,"Pompei, Italy (110f01b8)",Pompei,Italy,wifi,0.01033505584264044,0.5265886287625419,0.0,476,1.0,1.0,0.38969483898185914,"How reliable was the Wi-Fi for browsing, streaming, or work?",60.43729892048239
110f01b8ae518a0ee41047bce5c22572988a435e10ead72dc1af793bba8ce0b0,"Pompei, Italy (110f01b8)",Pompei,Italy,listing_accuracy,0.0031671945324220703,0.5750836120401337,0.0273972602739726,36,0.09863013698630137,1.0,0.24654658670822552,Did the room and amenities match what the listing promised?,38.23661046587097
110f01b8ae518a0ee41047bce5c22572988a435e10ead72dc1af793bba8ce0b0,"Pompei, Italy (110f01b8)",Pompei,Italy,noise,0.058509751625270875,0.5259130434782608,0.0821917808219178,59,0.16164383561643836,1.0,0.22477337246750648,How quiet was the room at night?,34.8598291336776
110f01b8ae518a0ee41047bce5c22572988a435e10ead72dc1af793bba8ce0b0,"Pompei, Italy (110f01b8)",Pompei,Italy,value,0.047507917986331055,0.5862541806020067,0.0684931506849315,1,0.0027397260273972603,1.0,0.22280847723862124,Did the stay feel like good value for the price you paid?,34.55509592087492
110f01b8ae518a0ee41047bce5c22572988a435e10ead72dc1af793bba8ce0b0,"Pompei, Italy (110f01b8)",Pompei,Italy,location,0.2052008668111352,0.8693645484949833,0.4383561643835616,1,0.0027397260273972603,1.0,0.1995302130020439,How convenient and walkable did the location feel during your stay?,30.944898214147035
110f01b8ae518a0ee41047bce5c22572988a435e10ead72dc1af793bba8ce0b0,"Pompei, Italy (110f01b8)",Pompei,Italy,parking,0.03817302883813969,0.5112709030100334,0.0684931506849315,1,0.0027397260273972603,1.0,0.1943107531260655,"How easy was parking, and were there any extra fees or surprises?",30.13541852600917
110f01b8ae518a0ee41047bce5c22572988a435e10ead72dc1af793bba8ce0b0,"Pompei, Italy (110f01b8)",Pompei,Italy,breakfast,0.09418236372728789,0.6011705685618729,0.2328767123287671,1,0.0027397260273972603,1.0,0.18825474713110885,"If you used breakfast, how good and convenient was it?",29.19619991706458
110f01b8ae518a0ee41047bce5c22572988a435e10ead72dc1af793bba8ce0b0,"Pompei, Italy (110f01b8)",Pompei,Italy,service,0.24920820136689448,0.868,0.7123287671232876,1,0.0027397260273972603,1.0,0.1024243043249606,How helpful and responsive was the staff during your stay?,15.884860865448273
110f01b8ae518a0ee41047bce5c22572988a435e10ead72dc1af793bba8ce0b0,"Pompei, Italy (110f01b8)",Pompei,Italy,cleanliness,0.19803300550091682,0.7978595317725752,0.8904109589041096,1,0.0027397260273972603,1.0,0.03631642552634062,How clean did the room and bathroom feel when you arrived?,5.632270293836402
3216b1b7885bffdb336265a8de7322ba0cd477cfb3d4f99d19acf488f76a1941,"Bell Gardens, United States (3216b1b7)",Bell Gardens,United States,listing_accuracy,0.0031671945324220703,0.5750836120401337,0.0,1072,1.0,1.0,0.5750836120401337,Did the room and amenities match what the listing promised?,89.18901840205857
3216b1b7885bffdb336265a8de7322ba0cd477cfb3d4f99d19acf488f76a1941,"Bell Gardens, United States (3216b1b7)",Bell Gardens,United States,location,0.2052008668111352,0.8693645484949833,0.06472491909385113,4,0.010958904109589041,1.0,0.45148952636227546,How convenient and walkable did the location feel during your stay?,70.02096187754259
3216b1b7885bffdb336265a8de7322ba0cd477cfb3d4f99d19acf488f76a1941,"Bell Gardens, United States (3216b1b7)",Bell Gardens,United States,value,0.047507917986331055,0.5862541806020067,0.019417475728155338,66,0.18082191780821918,1.0,0.36388225472059416,Did the stay feel like good value for the price you paid?,56.43405660148203
3216b1b7885bffdb336265a8de7322ba0cd477cfb3d4f99d19acf488f76a1941,"Bell Gardens, United States (3216b1b7)",Bell Gardens,United States,wifi,0.01033505584264044,0.5265886287625419,0.006472491909385114,111,0.3041095890410959,1.0,0.35981245163682707,"How reliable was the Wi-Fi for browsing, streaming, or work?",55.80287578789013
3216b1b7885bffdb336265a8de7322ba0cd477cfb3d4f99d19acf488f76a1941,"Bell Gardens, United States (3216b1b7)",Bell Gardens,United States,checkin,0.03533922320386731,0.6567224080267559,0.05825242718446602,0,0.0,1.0,0.3401567035750236,Was check-in smooth and clear when you arrived?,52.754489711696266
3216b1b7885bffdb336265a8de7322ba0cd477cfb3d4f99d19acf488f76a1941,"Bell Gardens, United States (3216b1b7)",Bell Gardens,United States,noise,0.058509751625270875,0.5259130434782608,0.042071197411003236,37,0.10136986301369863,1.0,0.30107326853131483,How quiet was the room at night?,46.693087274991576
3216b1b7885bffdb336265a8de7322ba0cd477cfb3d4f99d19acf488f76a1941,"Bell Gardens, United States (3216b1b7)",Bell Gardens,United States,parking,0.03817302883813969,0.5112709030100334,0.05825242718446602,4,0.010958904109589041,1.0,0.2673398085385474,"How easy was parking, and were there any extra fees or surprises?",41.4614059662742
3216b1b7885bffdb336265a8de7322ba0cd477cfb3d4f99d19acf488f76a1941,"Bell Gardens, United States (3216b1b7)",Bell Gardens,United States,service,0.24920820136689448,0.868,0.4854368932038835,0,0.0,1.0,0.245652427184466,How helpful and responsive was the staff during your stay?,38.097936352143314
3216b1b7885bffdb336265a8de7322ba0cd477cfb3d4f99d19acf488f76a1941,"Bell Gardens, United States (3216b1b7)",Bell Gardens,United States,cleanliness,0.19803300550091682,0.7978595317725752,0.5954692556634305,0,0.0,1.0,0.1775172906451927,How clean did the room and bathroom feel when you arrived?,27.53094084157758
3216b1b7885bffdb336265a8de7322ba0cd477cfb3d4f99d19acf488f76a1941,"Bell Gardens, United States (3216b1b7)",Bell Gardens,United States,breakfast,0.09418236372728789,0.6011705685618729,0.016181229773462782,171,0.4684931506849315,0.2,0.0904067042792966,"If you used breakfast, how good and convenient was it?",14.021065881239082
3b984f3ba8df55b2609a1e33fd694cf8407842e1d833c9b4d993b07fc83a2820,"San Isidro de El General, Costa Rica (3b984f3b)",San Isidro de El General,Costa Rica,checkin,0.03533922320386731,0.6567224080267559,0.0,1072,1.0,1.0,0.46889019461581255,Was check-in smooth and clear when you arrived?,72.71961036722435
3b984f3ba8df55b2609a1e33fd694cf8407842e1d833c9b4d993b07fc83a2820,"San Isidro de El General, Costa Rica (3b984f3b)",San Isidro de El General,Costa Rica,breakfast,0.09418236372728789,0.6011705685618729,0.0,1058,1.0,1.0,0.42922699369623296,"If you used breakfast, how good and convenient was it?",66.56829274551119
