eg_property_id,property_label,city,country,question_1,score_1,topic_1,question_2,score_2,topic_2
e52d67a758ce4ad0229aacc97e5dfe89984c384c51a70208f9e0cc65c9cd4676,"Bangkok, Thailand (e52d67a7)",Bangkok,Thailand,Did the stay feel like good value for the price you paid?,64.89165158589051,value,Did the room and amenities match what the listing promised?,63.65519704600304,listing_accuracy
3216b1b7885bffdb336265a8de7322ba0cd477cfb3d4f99d19acf488f76a1941,"Bell Gardens, United States (3216b1b7)",Bell Gardens,United States,Did the room and amenities match what the listing promised?,89.18901840205857,listing_accuracy,How convenient and walkable did the location feel during your stay?,70.02096187754259,location
9a0043fd4258a1286db1e253ca591662b3aac849da12d0d4f67e08b8f59be65f,"Bochum, Germany (9a0043fd)",Bochum,Germany,How convenient and walkable did the location feel during your stay?,100.0,location,Was check-in smooth and clear when you arrived?,75.54050934831115,checkin
db38b19b897dbece3e34919c662b3fd66d23b615395d11fb69264dd3a9b17723,"Broomfield, United States (db38b19b)",Broomfield,United States,Did the room and amenities match what the listing promised?,87.03674227242936,listing_accuracy,"How reliable was the Wi-Fi for browsing, streaming, or work?",73.2878611057769,wifi
5f5a0cd8662f0ddf297f2d27358f680daab5d3ac22fd45a4e1c3c3ec2c101a12,"Freudenstadt, Germany (5f5a0cd8)",Freudenstadt,Germany,How convenient and walkable did the location feel during your stay?,94.67586886862213,location,How helpful and responsive was the staff during your stay?,94.52726628918688,service
ff26cdda236b233f7c481f0e896814075ac6bed335e162e0ff01d5491343f838,"Frisco, United States (ff26cdda)",Frisco,United States,Did the room and amenities match what the listing promised?,88.4797455866126,listing_accuracy,"How reliable was the Wi-Fi for browsing, streaming, or work?",81.01852830829982,wifi
a036cbe1d9fbf9cba088075d1b4d966ee871df55aa4a58ba0da23c116c499052,"Mbombela, South Africa (a036cbe1)",Mbombela,South Africa,How convenient and walkable did the location feel during your stay?,94.74981513433572,location,How helpful and responsive was the staff during your stay?,94.60109648936069,service
fa014137b3ea9af6a90c0a86a1d099e46f7e56d6eb33db1ad1ec4bdac68c3caa,"Monterey, United States (fa014137)",Monterey,United States,Did the room and amenities match what the listing promised?,80.2375063174644,listing_accuracy,"How reliable was the Wi-Fi for browsing, streaming, or work?",73.47133102462791,wifi
f2d8d9557208d58577e9df7ff34e42bf86fb5b10fdfae0c3040d14c374a2a2b9,"New Smyrna Beach, United States (f2d8d955)",New Smyrna Beach,United States,Was check-in smooth and clear when you arrived?,75.54050934831115,checkin,"How reliable was the Wi-Fi for browsing, streaming, or work?",60.57167038547358,wifi
7d027ef72c02eaa17af3c993fd5dba50d17b41a6280389a46c13c7e2c32a5b06,"Ocala, United States (7d027ef7)",Ocala,United States,"How reliable was the Wi-Fi for browsing, streaming, or work?",74.29995505874027,wifi,How convenient and walkable did the location feel during your stay?,65.57886764724795,location
110f01b8ae518a0ee41047bce5c22572988a435e10ead72dc1af793bba8ce0b0,"Pompei, Italy (110f01b8)",Pompei,Italy,Was check-in smooth and clear when you arrived?,75.37293119101886,checkin,"How reliable was the Wi-Fi for browsing, streaming, or work?",60.43729892048239,wifi
823fb2499b4e37d99acb65e7198e75965d6496fd1c579f976205c0e6179206df,"Rome, Italy (823fb249)",Rome,Italy,Did the room and amenities match what the listing promised?,81.31364438227898,listing_accuracy,"How reliable was the Wi-Fi for browsing, streaming, or work?",74.45672176789665,wifi
3b984f3ba8df55b2609a1e33fd694cf8407842e1d833c9b4d993b07fc83a2820,"San Isidro de El General, Costa Rica (3b984f3b)",San Isidro de El General,Costa Rica,Was check-in smooth and clear when you arrived?,72.71961036722435,checkin,"If you used breakfast, how good and convenient was it?",66.56829274551119,breakfast
